Subject,Lecturer,Alaa Mohasseb,Alex Bennett,Alexander Gegov,Alice Good,Amanda Peart,Asim Ali,Athanasios Paraskelidis,Atefeh Khazaei,"Bander 
Al-rimy",Carrie Toptan,Claudia Iacob,Dalin Zhou,David Williams,Dongxu Gao,Elisavet Andrikopoulou,Ella Haig,Fahad Ahmad,Farzad Arabikhan,Femi Fasunlade,Grace Golcarenarenji,Hamid Khaleghzadeh,Hasheem Danbatta,Honghai Liu,Ioannis Kagalidis,Ivan Jordanov,Janka Chlebikova,Jiacheng Tan,John Cox,Julian Murphy,Katerina Kanta,Kirsten Smith,Linda Yang,Mani Ghahremani,Marjan Golmaryami ,Mark Venn,Martin Sparrius,Matt Dennis,Matthew Poole,Mo Adda,"Mohamed 
Bader",Nadim Bakhshov,Nasreen Anjum,Olumuyiwa Matthew,Paolo Serafino,Peter Bednar,Priscilla Boadi,Rahim Taheri,Rich Boakes,Rinat Khusainov,Ronel Beukman,Shelley Usher,Shikun Zhou,Sohail Safdar,Stavros Shiaeles,Taiwo Adedeji,Tamer Elboghdadly,Tobi Fajana,Uchenna Ogenyi,Valentin Adamescu,Vasileios Adamos,Xia Han,Zaynab Lamoyero,Zhaojie Ju,Eslam Amer (CREATE Team),,,,,,,
,Malware Detection,y,,,,,,,,Y,,,,,,,y,,,,,,Y,,,,,,,y,y,,,,,,,,,,,,,,,,,Y,,,,,,,y,,,Y,,,,,,,Y,,,,,,,
,OSINT,,,,,,,,,Y,,,,,,,,,,,,,Y,,,,,,,y,y,,,,,,Y,,,,,,,,,,,,,,,,,,y,,,Y,,,,,Y,,,,,,,,,
,Phishing,,,,,,,y,,Y,,,,Y,,,,,,,,,Y,,,,,,,y,y,,,,,,Y,,,,,,Y,,,,Y,Y,,,,,,Y,y,,,Y,,,,,Y,,Y,,,,,,,
,Compliance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,
,Cyber Bullying,Y,,,y,,,,,,y,,,,,y,y,,,,,,Y,,,,,,,y,,Y,Y,,,,Y,Y,,,,,,,,y,y,,Y,,,y,,Y,y,,,,,,,,Y,,Y,,,,,,,
,Cyber Psychology,Y,,,y,,,,,,y,,,,,y,y,,,,,,,,,,,,,y,,Y,,,,,Y,Y,,,,,,,,y,y,,Y,,y,y,,,y,,,,,,,,Y,,,,,,,,,
,Governance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,y,,,,,,,,,,,,,,,,,Y,,,,,,,,,
,Ransomware,,,,,,,,,Y,,,,,,,,,,,,,Y,,,,,,,y,y,,,,,,Y,,,,,,Y,,,,Y,Y,,,,,,,y,,,Y,,,,,Y,,Y,,,,,,,
,Remote Surveilance,,,,,,y,y,,,,,,,,,,,,,,,,,,,,,,y,,,,,Y,,,,,,,,,,,,Y,,,,,,,,y,,,Y,Y,,,,,,,,,,,,,
,Risk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,y,,,,,,,,,,,,,,,,,Y,,,,,,,,,
,Security Critical Systems,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,y,Y,Y,,,,,,,y,,,Y,,,,,,,,,,,,,,
,Security Protocols,,,,,,y,,,Y,,,,Y,,,,Y,,,,,,,,,,,,y,,,,,,,,,,Y,,,,,,,Y,Y,,,,,,,y,,,Y,,,,,Y,,,,,,,,,
,Security Requirements at the Engineering Level,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,,Y,,,,,,,Y,y,,,Y,,,,,,,,,,,,,,
,Surveilance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,,,,Y,,,,,,,,,,,y,Y,,Y,,,,,,y,,,Y,,,,,,,,,,,,,,
Data Analytics,Adversarial Machine Learning,,,,,,,,,Y,,,,,y,,,,,,,,Y,,,,,,,,y,,Y,,Y,,,,,,,,,,,,,Y,,Y,,,,,y,,Y,,Y,,,,,,Y,,,,,,,
,Data Analytics,y,,,,,,,Y,y,y,,y,,y,y,y,,y,,y,y,Y,Y,,,,,,,,,Y,,Y,Y,,,,,,,,y,Y,,,Y,y,Y,y,,,,y,y,Y,,Y,,,Y,,,,,,,,,,
,Data Integration,,,,,,,,,,,,,,y,y,,,,,,,,Y,,,,,,,,,Y,,,,,,,,,,,,,,,,Y,,,,,,,y,Y,,Y,,,,,,,,,,,,,
,Data Mining,y,,,,,y,,Y,,y,,,,y,,y,,y,,y,,,Y,,,,,,y,,,Y,,Y,Y,,,,,y,,,y,Y,,,Y,Y,Y,,,,,y,y,Y,,Y,,,,,,,,,,,,,
,Data Mining [and clustering],y,,,,,,,Y,,y,,,,y,,y,,y,,y,,,Y,,,,,,y,,,Y,,Y,,,,,,,,,,,,Y,Y,,Y,,,,,y,y,Y,,Y,,,,,,,,,,,,,
,Deep Learning,y,,,,,y,,Y,Y,,,,,y,,y,Y,y,,y,y,,Y,,,,,Y,y,y,,Y,Y,Y,,,,,,,Y,,,,,,Y,,Y,,,,,y,y,Y,,Y,,,,,Y,Y,,,,,,,
,Data Warehousing,,,,,,y,,,,,,,,,y,,,,,,,,,,,,,,,,,Y,,,Y,,,,,y,,,y,Y,,Y,,,,,,,,,y,,,Y,,,,,,,,,,,,,
,Financial Analytics,,,Y,,,,,Y,,,,,,,,y,,,,,,,Y,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fuzzy Systems,,,y,,,,,Y,,y,,,,,,y,Y,y,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,y,,Y,,Y,,,,,Y,,,,,,,,
,Healthcare analytics,,,,,,,,,,y,,,,y,y,y,,,,,,,Y,,,,,,,,,Y,,,,,,,,,,,,,,,,,Y,,,,,,y,Y,,,,,,,,,,,,,,,
,Information Retrieval,y,,,,,,,Y,,,,,,,,y,,,,,,,,,,,,,,y,,Y,,,Y,,,,,,,,,y,,,,Y,Y,,,,,,y,,,,,,,,,Y,,,,,,,
,Knowledge Discovery,y,,Y,,,,,Y,,,,,,y,y,y,,,,,,,,,,,y,,,y,,Y,,,Y,,,,,,,,y,Y,,,,Y,,,,,,,,,,,,,,,,,,,,,,,
,Machine Learning,y,,y,,,y,,Y,Y,y,,,,y,,y,Y,y,,y,y,Y,Y,,y,,y,Y,y,y,,Y,Y,Y,,,,,,y,,,y,Y,,,Y,Y,Y,,,,,y,y,Y,,Y,,,,,,,,,,,,,
Databases,Big Data,,,,,,y,,Y,,,,,,y,,,,,,,y,,,,,,,,,y,,Y,,,Y,,,,y,,,,,,y,,,Y,Y,,,,,,,Y,,Y,Y,,,,,,,,,,,,
,Data Mining,y,,,,,y,,Y,,,,,,y,,,,,,,,,Y,,,,,,,,,Y,,,Y,,,,,,,,y,,,Y,,Y,Y,,,,,,,Y,,Y,,,,,,,,,,,,,
,Database Security,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,Y,,,,y,,,Y,,,,y,,,Y,y,,,Y,,Y,,,,,,,,,,,,
,Database Systems,,,,,,,,,,,,,,,y,,,,,,y,,,,,,,,,,,,,,Y,,,,,,,,y,Y,,,,,,y,y,,Y,,y,Y,,,y,,,,,,,,,,,,
,Relational Databases,,,,,,,,Y,,,,,,,y,,,,,,y,,,,,,,,,,,,Y,,Y,,,,,,,,y,Y,,,,,,y,y,,Y,,y,Y,,,Y,,,,,,,,,,,,
